,model,input_shape,output_shape,architectures,task,dataset,#labels,labels,task_specific_params,problem_type,finetuning_task,label
0,jaesun/distilbert-base-uncased-finetuned-cola,,768,DistilBertForSequenceClassification,,,2,"['unacceptable', 'acceptable']",,single_label_classification,
1,aXhyra/presentation_sentiment_1234567,,768,DistilBertForSequenceClassification,,,3,"['negative', 'neutral', 'positive']",,single_label_classification,
2,moshew/bert-mini-sst2-distilled,,256,BertForSequenceClassification,,,2,"['negative', 'positive']",,,
3,chiragasarpota/scotus-bert,,128,BertForSequenceClassification,,,14,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5', 'LABEL_6', 'LABEL_7', 'LABEL_8', 'LABEL_9', 'LABEL_10', 'LABEL_11', 'LABEL_12', 'LABEL_13']",,single_label_classification,scotus
4,SetFit/distilbert-base-uncased__sst2__train-32-9,,768,DistilBertForSequenceClassification,,,2,"['negative', 'positive']",,single_label_classification,
5,Capreolus/bert-base-msmarco,,768,BertForSequenceClassification,,,2,"['LABEL_0', 'LABEL_1']",,,
6,adamlin/ml999_power_stacker,,312,AlbertForSequenceClassification,,,2,"[0, 1]",,single_label_classification,
7,JB173/distilbert-base-uncased-finetuned-emotion,,768,DistilBertForSequenceClassification,,,6,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5']",,single_label_classification,
8,nreimers/mmarco-mMiniLMv2-L6-H384-v1,,384,XLMRobertaForSequenceClassification,,,1,['LABEL_0'],,,
9,uygarkurt/distilbert-base-uncased-finetuned-emotion,,768,DistilBertForSequenceClassification,,,6,"['sadness', 'joy', 'love', 'anger', 'fear', 'surprise']",,single_label_classification,
10,amyma21/sincere_question_classification,,768,DistilBertForSequenceClassification,,,2,"['sincere', 'insincere']",,,
11,phailyoor/distilbert-base-uncased-finetuned-yahd,,768,DistilBertForSequenceClassification,,,17,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5', 'LABEL_6', 'LABEL_7', 'LABEL_8', 'LABEL_9', 'LABEL_10', 'LABEL_11', 'LABEL_12', 'LABEL_13', 'LABEL_14', 'LABEL_15', 'LABEL_16']",,single_label_classification,
12,citizenlab/distilbert-base-multilingual-cased-toxicity,,768,DistilBertForSequenceClassification,,,2,"['toxic', 'not_toxic']",,,
13,neibla/distilbert-base-uncased-finetuned-emotion,,768,DistilBertForSequenceClassification,,,6,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5']",,single_label_classification,
14,Anthos23/FS-distilroberta-fine-tuned,,768,RobertaForSequenceClassification,,,3,"['negative', 'neutral', 'positive']",,single_label_classification,
